City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Busselton,0,AU,1581537448,48,-33.65,115.33,71.01,9.64
Lahaina,20,US,1581537423,64,20.88,-156.68,75.2,4.7
Magdalena,20,PH,1581537448,78,14.2,121.43,75.2,4.7
Cabo San Lucas,5,MX,1581537449,55,22.89,-109.91,73.0,9.17
Pangnirtung,40,CA,1581537448,67,66.15,-65.71,-22.0,1.43
George Town,40,MY,1581537427,88,5.41,100.34,80.6,8.05
Pierre,75,US,1581537449,65,44.37,-100.35,9.0,21.92
Ushuaia,40,AR,1581537450,50,-54.8,-68.3,55.4,23.04
Miguel Hidalgo,5,MX,1581537450,22,19.42,-99.2,80.6,6.93
Hermanus,0,ZA,1581537450,79,-34.42,19.23,72.0,7.0
Saskylakh,100,RU,1581537450,86,71.92,114.08,-17.59,8.3
Bluff,89,NZ,1581537450,95,-46.6,168.33,57.99,5.01
Hokitika,100,NZ,1581537451,82,-42.72,170.97,59.0,3.85
Chabahar,36,IR,1581537451,82,25.29,60.64,66.2,9.26
Alyangula,31,AU,1581537451,83,-13.85,136.42,84.2,8.05
Novovarshavka,33,RU,1581537451,79,54.17,74.69,-0.72,10.69
Port Elizabeth,0,ZA,1581537451,73,-33.92,25.57,71.6,14.99
Rovaniemi,90,FI,1581537452,92,66.5,25.72,30.2,10.29
Anchorage,90,US,1581537220,79,61.22,-149.9,23.0,14.99
Manaure,20,CO,1581537452,41,11.78,-72.44,93.2,20.8
Hithadhoo,70,MV,1581537453,77,-0.6,73.08,82.87,9.13
Mataura,100,NZ,1581537453,95,-46.19,168.86,57.99,5.01
Kapaa,75,US,1581537419,88,22.08,-159.32,73.4,13.87
Back Mountain,1,US,1581537453,44,41.34,-76.0,43.0,6.78
Saint-Augustin,3,CA,1581537413,81,51.23,-58.65,20.17,10.76
Chester,1,US,1581537454,48,40.13,-75.87,46.99,6.93
Kaitangata,100,NZ,1581537454,59,-46.28,169.85,68.0,15.21
Severo-Kuril'sk,87,RU,1581537454,92,50.68,156.12,19.51,10.02
Raffadali,100,IT,1581537454,59,37.4,13.53,53.01,4.7
Iqaluit,20,CA,1581537454,61,63.75,-68.51,-23.01,11.41
Port Alfred,0,ZA,1581537455,85,-33.59,26.89,69.01,5.01
Palmer,75,US,1581537455,41,42.16,-72.33,45.0,6.93
Hamilton,90,US,1581537305,96,39.18,-84.53,37.4,6.93
Marmato,75,CO,1581537456,56,5.48,-75.59,71.6,8.05
Jamestown,1,US,1581537326,78,42.1,-79.24,37.99,13.87
Vardo,100,NO,1581537456,79,70.37,31.11,24.8,26.4
Parnarama,1,BR,1581537456,88,-5.68,-43.09,78.64,1.5
Mackay,1,AU,1581537456,94,-21.15,149.2,73.4,6.93
Thompson,90,CA,1581537457,62,55.74,-97.86,-16.6,13.87
Marshfield,90,US,1581537457,55,44.67,-90.17,37.99,11.41
Mwinilunga,98,ZM,1581537457,93,-11.74,24.43,65.01,1.57
Bonavista,100,CA,1581537457,86,48.65,-53.11,28.99,11.01
Dunedin,100,NZ,1581537458,59,-45.87,170.5,68.0,8.95
Albany,1,US,1581537165,76,42.6,-73.97,42.01,4.7
Mahebourg,20,MU,1581537409,83,-20.41,57.7,80.6,11.41
Broken Hill,1,AU,1581537458,68,-31.95,141.43,69.8,11.41
Provideniya,75,RU,1581537459,77,64.38,-173.3,5.0,2.24
Punta Arenas,90,CL,1581537459,56,-53.15,-70.92,59.0,20.8
Okha,100,RU,1581537459,92,53.57,142.95,8.74,14.9
Hervey Bay,90,AU,1581537459,88,-25.3,152.85,81.0,8.05
Nishihara,20,JP,1581537530,88,26.18,127.76,69.8,10.29
Morondava,0,MG,1581537530,96,-20.28,44.28,75.07,1.03
Mar del Plata,0,AR,1581537530,81,-38.0,-57.56,86.0,31.0
Lompoc,1,US,1581537530,48,34.64,-120.46,69.01,5.82
Nosy Varika,7,MG,1581537531,92,-20.58,48.53,74.98,6.91
Chui,0,UY,1581537531,61,-33.7,-53.46,73.81,13.73
Broome,1,US,1581537531,55,42.25,-75.83,39.99,4.7
Rikitea,100,PF,1581537421,78,-23.12,-134.97,79.11,17.52
Yellowknife,20,CA,1581537430,73,62.46,-114.35,-27.0,6.93
Kuytun,94,RU,1581537532,98,54.34,101.5,-2.13,2.84
Mareeba,0,AU,1581537532,74,-17.0,145.43,78.8,3.36
Nikolskoye,90,RU,1581537532,86,59.7,30.79,35.01,6.71
Kedougou,0,SN,1581537532,17,12.56,-12.17,82.92,4.27
Qaanaaq,7,GL,1581537417,57,77.48,-69.36,-16.22,4.25
Hambantota,0,LK,1581537533,80,6.12,81.12,80.24,26.33
Tuktoyaktuk,5,CA,1581537533,67,69.45,-133.04,-25.6,6.93
Constitucion,22,CL,1581537533,56,-35.33,-72.42,63.45,19.17
Srivardhan,0,IN,1581537534,66,18.03,73.02,74.44,3.98
Coro,0,VE,1581537534,76,11.4,-69.67,79.45,19.3
Alpena,1,US,1581537367,48,45.06,-83.43,39.99,14.99
Samarai,91,PG,1581537534,89,-10.62,150.67,78.24,5.75
Vaini,75,TO,1581537424,88,-21.2,-175.2,77.0,8.05
East London,49,ZA,1581537535,75,-33.02,27.91,74.59,21.09
Ponta do Sol,20,PT,1581537535,72,32.67,-17.1,64.4,4.7
Liuhe,100,CN,1581537535,97,42.24,125.72,29.07,5.75
Butaritari,100,KI,1581537536,84,3.07,172.79,81.86,17.92
Sitka,90,US,1581537536,86,57.05,-135.33,39.2,6.93
Puerto Carreno,20,CO,1581537536,32,6.19,-67.49,98.6,9.17
Antofagasta,40,CL,1581537331,60,-23.65,-70.4,73.4,13.87
Naze,40,JP,1581537537,94,28.37,129.48,68.0,8.05
Sao Filipe,0,CV,1581537461,62,14.9,-24.5,71.6,13.51
Karratha,0,AU,1581537537,72,-20.74,116.85,81.34,15.37
Sattahip,20,TH,1581537537,69,12.67,100.9,88.0,9.17
Atuona,0,PF,1581537538,77,-9.8,-139.03,81.45,16.89
Kodiak,90,US,1581537538,86,57.79,-152.41,33.8,17.22
Ayagoz,66,KZ,1581537538,64,47.97,80.44,5.16,8.79
Ghanzi,7,BW,1581537538,63,-21.57,21.78,71.85,8.72
Shihezi,0,CN,1581537538,89,44.3,86.03,1.8,3.42
Barrow,1,US,1581537539,74,71.29,-156.79,-23.8,4.7
Saint George's,75,GD,1581537539,70,12.06,-61.75,84.2,20.8
Quartucciu,97,IT,1581537539,66,39.25,9.18,57.2,8.05
Guerrero Negro,0,MX,1581537386,29,27.98,-114.06,66.79,6.53
Barra de Tecoanapa,0,MX,1581537539,29,16.52,-98.75,94.6,10.71
Tiksi,36,RU,1581537540,91,71.69,128.87,-27.63,5.37
Avarua,100,CK,1581537540,74,-21.21,-159.78,82.4,10.29
Khatanga,89,RU,1581537540,96,71.97,102.5,-3.37,9.86
Puerto Ayora,20,EC,1581537409,66,-0.74,-90.35,86.0,23.04
Grootfontein,10,,1581537541,62,-19.57,18.12,69.1,3.06
North Platte,90,US,1581537541,55,41.12,-100.77,37.4,26.4
Sur,56,OM,1581537541,74,22.57,59.53,67.77,15.03
Saint-Philippe,99,RE,1581537612,74,-21.36,55.77,80.6,4.7
Kahului,20,US,1581537601,64,20.89,-156.47,75.2,4.7
Vao,78,NC,1581537428,90,-22.67,167.48,80.8,16.67
Chenzhou,100,CN,1581537612,97,25.8,113.03,59.85,2.37
Port Macquarie,90,AU,1581537455,100,-31.43,152.92,72.0,8.23
Kruisfontein,0,ZA,1581537613,92,-34.0,24.73,67.05,4.7
Rio Claro,75,BR,1581537613,73,-22.41,-47.56,75.2,11.41
Chern,100,RU,1581537614,96,53.45,36.91,23.77,5.99
Esim,9,GH,1581537614,81,4.87,-2.24,79.75,4.88
Salalah,31,OM,1581537614,44,17.02,54.09,75.2,25.28
Plymouth,1,US,1581537614,36,41.83,-70.83,45.0,4.7
Waipawa,100,NZ,1581537614,77,-41.41,175.52,66.0,27.51
Ibotirama,49,BR,1581537615,65,-12.19,-43.22,80.28,2.42
Coahuayana Viejo,40,MX,1581537615,57,18.73,-103.68,77.0,11.41
Bredasdorp,1,ZA,1581537615,83,-34.53,20.04,72.0,11.41
Westport,1,US,1581537333,41,41.14,-73.36,46.0,8.05
Port-Gentil,75,GA,1581537616,83,-0.72,8.78,84.2,8.05
Petra,0,JO,1581537616,57,30.32,35.48,48.4,3.78
Ternate,100,ID,1581537616,93,0.8,127.4,73.58,1.68
Mahon,100,ES,1581537617,87,39.89,4.27,51.8,6.93
Fallon,20,US,1581537587,36,39.47,-118.78,57.0,4.7
Yumen,94,CN,1581537473,62,40.28,97.2,25.74,17.76
New Norfolk,90,AU,1581537498,71,-42.78,147.06,57.2,1.12
Avera,90,US,1581537618,78,33.19,-82.53,73.0,5.82
Kalmunai,82,LK,1581537437,77,7.42,81.82,80.4,21.47
Sioux Lookout,5,CA,1581537328,56,50.1,-91.92,-14.8,9.17
Yulara,0,AU,1581537519,22,-25.24,130.99,87.8,10.29
Cape Town,20,ZA,1581537320,93,-33.93,18.42,69.01,10.29
Batemans Bay,100,AU,1581537619,97,-35.72,150.18,69.01,1.01
Tual,72,ID,1581537475,77,-5.67,132.75,82.8,14.36
Upata,34,VE,1581537619,71,8.01,-62.4,79.41,7.9
Hong Gai,90,VN,1581537619,88,20.96,107.09,71.6,6.93
Hobart,90,AU,1581537618,71,-42.88,147.33,57.2,1.12
Tasiilaq,90,GL,1581537431,79,65.61,-37.64,19.4,34.45
Bulle,20,CH,1581537620,69,46.62,7.06,39.99,3.36
Pemberton,90,CA,1581537620,80,50.32,-122.8,37.99,1.86
Karatuzskoye,93,RU,1581537620,85,53.61,92.87,6.94,1.97
Stepnogorsk,100,KZ,1581537621,82,52.35,71.89,1.72,10.67
Marau,40,BR,1581537621,54,-28.45,-52.2,78.8,11.41
Torbay,90,CA,1581537621,92,47.67,-52.73,30.0,25.28
Scottsbluff,90,US,1581537621,59,41.87,-103.67,33.8,20.8
Lewistown,1,US,1581537622,52,40.6,-77.57,45.0,7.7
Fortuna,1,US,1581537622,76,40.6,-124.16,55.99,5.82
Hong Kong,20,HK,1581537585,93,22.29,114.16,69.01,6.93
Saint George,1,US,1581537480,23,37.1,-113.58,51.8,2.89
Souillac,20,MU,1581537442,83,-20.52,57.52,80.6,11.41
Katsuura,75,JP,1581537623,72,35.13,140.3,60.01,8.05
Salisbury,90,GB,1581537407,81,51.07,-1.8,44.01,9.17
Arrondissement de Bastia,60,FR,1581537623,70,42.67,9.33,54.0,4.7
Saldanha,1,ZA,1581537624,77,-33.01,17.94,66.2,8.05
Floro,40,NO,1581537436,80,61.6,5.03,35.01,8.05
Moron,0,AR,1581537550,42,-34.65,-58.62,90.0,14.99
Miracema do Tocantins,100,BR,1581537694,85,-9.56,-48.4,81.34,1.16
Arraial do Cabo,90,BR,1581537605,94,-22.97,-42.03,73.4,14.99
Aksarka,98,RU,1581537695,94,66.56,67.8,14.09,11.5
Norrtaelje,75,SE,1581537695,93,59.76,18.7,39.0,13.87
Tocopilla,100,CL,1581537695,25,-22.09,-70.2,74.75,11.25
San Cristobal,40,VE,1581537613,49,7.77,-72.22,89.6,13.87
Bowen,40,AU,1581537433,94,-20.02,148.23,75.0,3.36
Toamasina,40,MG,1581537696,83,-18.17,49.38,78.8,10.29
Luderitz,1,,1581537503,82,-26.65,15.16,68.0,8.05
Sergeevka,85,KZ,1581537697,73,53.88,67.42,-0.87,3.78
Barretos,100,BR,1581537697,92,-20.56,-48.57,75.72,1.77
Nouadhibou,0,MR,1581537673,29,20.93,-17.03,78.8,12.75
Baykit,100,RU,1581537431,98,61.67,96.37,-5.78,4.03
Ongandjera,33,,1581537698,35,-17.88,15.07,77.25,17.83
Sembakung,98,ID,1581537698,92,3.82,117.25,74.93,4.45
Oussouye,0,SN,1581537698,50,12.48,-16.55,72.99,7.0
Paranhos,4,BR,1581537698,61,-23.89,-55.43,83.68,6.22
Thinadhoo,100,MV,1581537699,79,0.53,72.93,82.67,10.63
Ormara,59,PK,1581537699,60,25.21,64.64,73.53,12.03
Kiryat Gat,0,IL,1581537496,66,31.61,34.76,55.99,5.82
Sao Joao da Barra,90,BR,1581537699,88,-21.64,-41.05,77.0,4.7
Upernavik,100,GL,1581537700,98,72.79,-56.15,-12.14,1.28
San Luis de la Paz,11,MX,1581537700,31,21.3,-100.52,77.0,13.0
Kotelnikowo,100,RU,1581537700,97,47.63,43.15,33.06,19.01
Touros,75,BR,1581537676,62,-5.2,-35.46,86.0,18.34
Moissala,42,TD,1581537701,14,8.34,17.77,73.54,4.7
Dikson,100,RU,1581537701,92,73.51,80.55,19.04,21.77
Rantauprapat,98,ID,1581537701,97,2.1,99.83,74.73,1.14
Riyadh,0,SA,1581537403,24,24.69,46.72,44.6,5.82
'Ewa Beach,75,US,1581537702,78,21.32,-158.01,73.99,8.32
Srednekolymsk,88,RU,1581537702,70,67.45,153.68,-26.18,6.22
Vavuniya,94,LK,1581537702,85,8.75,80.5,73.72,7.99
Zhezkazgan,100,KZ,1581537703,95,47.8,67.71,16.93,13.13
Baruun-Urt,100,MN,1581537703,94,46.68,113.28,8.82,16.8
Mossamedes,15,AO,1581537703,86,-15.2,12.15,74.34,16.53
Port Moresby,75,PG,1581537703,94,-9.44,147.18,75.2,11.41
Mezen,100,RU,1581537464,89,65.85,44.24,31.69,14.34
Yarada,0,IN,1581537704,56,17.65,83.27,76.23,1.86
Bam,0,IR,1581537428,26,29.11,58.36,46.22,5.21
Ndioum,0,SN,1581537704,16,16.51,-14.65,83.59,9.75
Savelugu,0,GH,1581537704,6,9.62,-0.83,81.81,8.84
Moyo,9,UG,1581537705,29,3.66,31.72,77.63,5.41
Araouane,0,ML,1581537705,15,18.9,-3.53,76.12,9.62
Preobrazheniye,7,RU,1581537705,78,42.9,133.91,32.11,3.85
San Quintin,0,MX,1581537705,45,30.48,-115.95,62.55,8.5
Banepa,20,NP,1581537705,93,27.63,85.52,46.4,3.36
Port Augusta,90,AU,1581537706,83,-32.5,137.77,69.8,9.17
Maputo,75,MZ,1581537695,78,-25.97,32.59,77.0,8.05
Aden,81,YE,1581537776,71,12.78,45.04,77.07,13.13
Waddan,23,LY,1581537776,21,29.16,16.14,58.89,1.12
Marzuq,23,YE,1581537777,68,14.4,46.47,57.47,11.07
Arkhipo-Osipovka,100,RU,1581537777,79,44.37,38.52,36.09,5.68
Ixtapa,75,MX,1581537777,61,20.7,-105.2,79.0,4.92
Nyurba,0,RU,1581537777,96,63.28,118.33,-25.33,4.59
Davila,33,PH,1581537777,76,18.47,120.58,74.95,7.74
Norman Wells,20,CA,1581537778,75,65.28,-126.83,-20.2,9.17
Altamont,1,US,1581537778,48,42.21,-121.74,48.99,0.45
Malakal,0,SS,1581537778,14,9.53,31.66,76.37,7.72
Dudinka,75,RU,1581537778,84,69.41,86.18,8.6,29.08
Richards Bay,0,ZA,1581537681,74,-28.78,32.04,75.47,7.45
Sarkikaraagac,99,TR,1581537779,96,38.08,31.37,34.99,4.81
Cherskiy,0,RU,1581537779,73,68.75,161.3,-12.01,4.97
San Ramon de la Nueva Oran,75,AR,1581537779,55,-23.13,-64.33,84.99,1.99
Ribeira Grande,20,PT,1581537671,77,38.52,-28.7,62.6,11.41
Isangel,99,VU,1581537780,82,-19.55,169.27,83.37,1.05
Portland,90,US,1581537673,81,45.52,-122.68,48.99,9.17
Deputatsky,100,RU,1581537671,96,69.3,139.9,-13.97,4.7
Jiwani,0,PK,1581537781,71,25.05,61.74,71.11,14.41
Hilo,1,US,1581537547,78,19.73,-155.09,75.99,9.17
Bengkulu,64,ID,1581537665,93,-3.8,102.27,74.52,3.18
Brae,61,GB,1581537781,80,60.4,-1.35,41.0,3.36
Nouakchott,0,MR,1581537782,22,18.09,-15.98,89.6,6.93
Saveh,0,IR,1581537782,38,35.02,50.36,33.96,13.38
Sambava,100,MG,1581537782,95,-14.27,50.17,73.89,1.99
Anadyr,90,RU,1581537782,85,64.75,177.48,12.2,20.13
Coyhaique,40,CL,1581537783,48,-45.58,-72.07,60.8,8.05
Opuwo,50,,1581537678,45,-18.06,13.84,69.69,6.4
Nanortalik,0,GL,1581537783,48,60.14,-45.24,16.29,12.97
La Ronge,5,CA,1581537783,46,55.1,-105.28,-14.8,6.93
Kununurra,27,AU,1581537504,94,-15.77,128.73,78.8,3.78
Bethel,1,US,1581537655,41,41.37,-73.41,46.0,6.93
Bilma,98,NE,1581537784,19,18.69,12.92,59.68,3.71
Turinskaya Sloboda,100,RU,1581537784,94,57.62,64.39,17.01,5.77
Kirakira,100,SB,1581537485,76,-10.45,161.92,81.34,7.45
Margherita,18,IN,1581537785,75,27.28,95.68,60.03,2.73
Krasyukovskaya,75,RU,1581537785,96,47.55,40.11,35.6,22.37
Faanui,21,PF,1581537785,78,-16.48,-151.75,82.06,14.38
Padang,95,ID,1581537785,94,-0.95,100.35,69.64,2.42
Castro,50,BR,1581537786,92,-24.79,-50.01,66.4,3.22
Pevek,0,RU,1581537786,71,69.7,170.31,-4.81,2.33
Birjand,0,IR,1581537787,80,32.87,59.22,30.2,9.17
Nayudupet,0,IN,1581537787,86,13.9,79.9,69.76,1.74
Alizai,100,PK,1581537668,83,33.54,70.35,46.2,2.21
Constantine,100,DZ,1581537787,71,36.37,6.61,51.8,1.97
Hasaki,75,JP,1581537668,87,35.73,140.83,54.0,5.82
Lebu,0,CL,1581537788,47,-37.62,-73.65,65.35,11.39
Kiunga,100,PG,1581537495,93,-6.12,141.29,71.73,1.68
Tura,0,IN,1581537788,53,25.52,90.22,56.5,1.39
Mongoumba,34,CF,1581537858,27,3.64,18.59,73.72,2.95
Maralal,48,KE,1581537859,66,1.1,36.7,69.22,11.03
Djebeniana,20,TN,1581537859,72,35.03,10.91,59.0,3.36
Kurumkan,0,RU,1581537859,70,54.3,110.3,-12.89,2.01
Rio Grande City,90,US,1581537796,81,26.38,-98.82,61.0,11.41
Meulaboh,100,ID,1581537684,82,4.14,96.13,81.18,5.26
Inhambane,40,MZ,1581537860,78,-23.86,35.38,80.6,4.7
Havre-Saint-Pierre,1,CA,1581537860,79,50.23,-63.6,24.8,18.34
Airai,97,TL,1581537860,88,-8.93,125.41,67.89,3.42
Alekseyevsk,64,RU,1581537861,99,57.84,108.35,-10.97,3.36
Kutum,0,SD,1581537861,18,14.2,24.67,49.1,7.67
Waterboro,1,US,1581537861,44,43.54,-70.72,42.01,9.17
Rafraf,20,TN,1581537861,81,37.19,10.18,53.6,2.24
Khani,90,GE,1581537861,93,41.96,42.96,33.8,5.82
Leningradskiy,0,RU,1581537664,96,69.38,178.42,-17.03,10.78
Arrondissement de Niort,41,FR,1581537862,86,46.33,-0.33,48.2,3.36
Mangan,0,IN,1581537862,56,27.52,88.53,38.55,2.62
Vilyuysk,0,RU,1581537863,96,63.76,121.62,-28.43,4.92
Ordu,40,TR,1581537863,100,40.91,37.68,39.2,2.24
Plettenberg Bay,0,ZA,1581537863,80,-34.05,23.37,70.2,2.35
Kumul,0,CN,1581537863,52,42.8,93.45,16.57,1.68
Adrar,0,MR,1581537863,28,20.5,-10.07,76.39,8.55
Clyde River,40,CA,1581537864,76,70.47,-68.59,-11.2,18.34
Bubaque,0,GW,1581537864,70,11.28,-15.83,79.93,15.9
Arlit,100,NE,1581537864,13,18.74,7.39,66.74,3.22
Magadan,100,RU,1581537864,62,59.57,150.8,1.89,3.4
Oytal,100,KZ,1581537865,78,42.91,73.27,34.79,3.36
Raudeberg,40,NO,1581537865,80,61.99,5.14,35.01,8.05
Novokuznetsk,0,RU,1581537865,76,53.76,87.11,1.47,2.66
Kavaratti,0,IN,1581537865,69,10.57,72.64,81.59,6.58
Petropavlovsk-Kamchatsky,0,RU,1581537685,61,53.05,158.65,14.0,6.71
Cananea,0,MX,1581537714,56,30.95,-110.3,52.0,3.0
Balikpapan,99,ID,1581537866,81,-1.27,116.83,81.19,13.78
Muros,75,ES,1581537675,100,42.78,-9.06,59.0,9.17
Manta,75,EC,1581537866,70,-0.95,-80.73,86.0,10.29
Tommot,100,RU,1581537867,96,58.96,126.29,-11.72,8.19
Columbus,90,US,1581537653,80,39.96,-83.0,37.99,5.82
